Source,Destination,Mode,DepartureTime,ArrivalTime,Cost
EEB87F,36535F,Bus,20:10,22:05,870
EEB87F,E6AEDC,Bus,19:40,22:05,920
EEB87F,B647A3,Bus,17:45,21:30,70
EEB87F,07F3AF,Bus,12:10,12:35,910
800878,EEB87F,Bus,06:55,08:40,930
800878,36535F,Bus,11:30,14:55,590
800878,9569DB,Bus,20:20,23:05,200
800878,B647A3,Bus,00:15,02:10,240
800878,07F3AF,Bus,19:15,23:15,150
800878,617736,Bus,09:05,12:15,230
800878,26F069,Bus,02:30,03:10,570
36535F,9569DB,Bus,10:00,11:40,350
36535F,B647A3,Bus,08:55,12:55,360
36535F,07F3AF,Bus,10:50,13:50,820
36535F,26F069,Bus,08:00,11:20,320
9569DB,EEB87F,Bus,16:00,17:50,360
9569DB,36535F,Bus,09:35,13:15,360
9569DB,B647A3,Bus,03:25,04:05,190
9569DB,07F3AF,Bus,04:35,06:40,770
9569DB,26F069,Bus,16:40,20:10,780
E6AEDC,800878,Bus,18:25,19:30,290
E6AEDC,36535F,Bus,10:15,11:05,780
E6AEDC,F5B18A,Bus,15:10,18:25,760
E6AEDC,617736,Bus,13:50,14:35,400
E6AEDC,26F069,Bus,14:00,15:35,440
B647A3,EEB87F,Bus,22:40,02:25,370
B647A3,36535F,Bus,14:05,14:55,70
B647A3,9569DB,Bus,09:15,13:10,880
B647A3,07F3AF,Bus,11:35,13:50,530
B647A3,F5B18A,Bus,23:40,02:55,100
B647A3,26F069,Bus,08:10,10:55,480
07F3AF,EEB87F,Bus,08:50,12:20,330
07F3AF,800878,Bus,12:20,13:35,650
07F3AF,B647A3,Bus,15:40,19:45,150
07F3AF,F5B18A,Bus,10:20,12:30,190
07F3AF,617736,Bus,08:15,10:05,560
F5B18A,9569DB,Bus,20:05,23:15,550
F5B18A,E6AEDC,Bus,22:40,23:20,780
F5B18A,B647A3,Bus,17:50,18:30,770
F5B18A,07F3AF,Bus,05:55,09:00,970
617736,EEB87F,Bus,15:05,16:15,250
617736,800878,Bus,14:20,17:10,470
617736,9569DB,Bus,05:30,06:55,230
617736,E6AEDC,Bus,06:30,10:30,810
617736,B647A3,Bus,05:05,06:20,330
617736,07F3AF,Bus,01:55,04:35,130
26F069,EEB87F,Bus,01:10,04:50,720
26F069,36535F,Bus,09:10,10:15,940
26F069,9569DB,Bus,17:35,18:20,250
26F069,07F3AF,Bus,06:05,07:25,380
26F069,F5B18A,Bus,02:45,04:20,410
26F069,617736,Bus,14:20,15:20,890
