Source,Destination,Mode,DepartureTime,ArrivalTime,Cost
0F59F8,1FA016,Bus,11:40,15:40,320
0F59F8,D5F53B,Bus,05:15,08:25,290
0F59F8,CEE55A,Bus,05:50,09:05,980
0F59F8,5ECFCD,Bus,00:40,02:45,210
0F59F8,F85155,Bus,04:25,08:25,850
0F59F8,C33C74,Bus,18:25,22:10,50
0F59F8,320DB4,Bus,08:40,12:05,560
0F59F8,AF5EDE,Bus,05:35,08:00,140
0F59F8,749BEE,Bus,07:35,10:45,860
0F59F8,AE85F2,Bus,12:25,14:10,370
0F59F8,610B10,Bus,05:05,05:25,420
0F59F8,556CA3,Bus,02:05,02:40,290
0F59F8,EF725A,Bus,07:10,07:55,280
0F59F8,8A3A94,Bus,05:25,09:25,920
0F59F8,D08E9D,Bus,19:20,21:25,430
0F59F8,C89939,Bus,00:00,02:40,950
0F59F8,CB2617,Bus,19:10,22:25,320
0F59F8,5FA399,Bus,02:55,03:15,380
0F59F8,334E33,Bus,20:45,00:20,420
0F59F8,D46B5F,Bus,05:20,05:40,690
0F59F8,5E32DC,Bus,03:50,06:55,50
0F59F8,B7196F,Bus,01:25,03:40,350
0F59F8,0AACB6,Bus,10:45,14:20,750
0F59F8,D6418E,Bus,10:50,14:05,550
0F59F8,19641B,Bus,09:40,13:20,680
0F59F8,550364,Bus,00:15,03:45,170
0F59F8,A862E7,Bus,21:00,01:05,800
0F59F8,C97172,Bus,23:45,03:45,160
0F59F8,9EB16F,Bus,18:45,21:20,460
0F59F8,AC052B,Bus,11:40,12:30,970
0F59F8,05B7E8,Bus,16:35,18:50,990
0F59F8,CA4B18,Bus,08:50,10:15,930
0F59F8,885EFF,Bus,18:15,19:40,510
0F59F8,05C63D,Bus,00:45,02:55,580
0F59F8,D05BB4,Bus,01:40,02:15,790
0F59F8,4CB4F8,Bus,10:45,11:45,410
0F59F8,F5DFF1,Bus,16:40,18:10,90
0F59F8,A9446A,Bus,15:45,17:00,690
0F59F8,7B2E93,Bus,18:30,20:10,650
0F59F8,6460A7,Bus,16:05,18:20,440
0F59F8,682474,Bus,02:55,06:15,900
0F59F8,023881,Bus,02:35,03:00,230
0F59F8,AAD1A5,Bus,16:00,16:50,740
0F59F8,7C8400,Bus,22:40,02:05,760
0F59F8,7C7C2B,Bus,16:45,20:25,50
0F59F8,3C9576,Bus,01:10,01:30,620
0F59F8,EEEF94,Bus,18:40,20:50,930
0F59F8,9912E8,Bus,21:25,22:40,940
0F59F8,6E7635,Bus,17:40,21:30,880
0F59F8,E39BDC,Bus,01:45,03:05,890
0F59F8,1F29B5,Bus,18:50,21:50,560
0F59F8,28488F,Bus,01:40,04:45,40
0F59F8,B974DA,Bus,23:55,01:20,790
0F59F8,56376F,Bus,16:05,17:00,810
0F59F8,5ADEDC,Bus,04:45,05:50,90
0F59F8,D7D0FF,Bus,02:10,04:25,980
0F59F8,8AD5CB,Bus,04:20,04:50,80
0F59F8,392BF5,Bus,02:25,04:10,100
0F59F8,E28CB6,Bus,06:35,09:35,230
0F59F8,C52400,Bus,00:20,03:30,940
0F59F8,49E938,Bus,03:55,07:30,250
0F59F8,8BDE7B,Bus,13:40,16:25,130
0F59F8,92573F,Bus,21:10,22:00,840
0F59F8,965CE4,Bus,17:45,21:35,390
0F59F8,5B8D34,Bus,00:35,02:05,970
0F59F8,5131C3,Bus,20:25,00:20,240
0F59F8,EDB726,Bus,08:10,10:05,540
0F59F8,7CB0C8,Bus,00:00,00:55,280
0F59F8,71AE33,Bus,18:25,22:15,320
0F59F8,76D7A7,Bus,23:30,01:25,960
0F59F8,6DFC6D,Bus,03:00,04:30,470
0F59F8,FE52DA,Bus,11:00,14:40,900
0F59F8,FAEA55,Bus,23:25,01:55,840
0F59F8,58183F,Bus,09:35,09:55,570
0F59F8,9934F3,Bus,00:50,04:30,660
0F59F8,6EA5F0,Bus,15:30,16:25,360
0F59F8,5DC175,Bus,03:40,04:45,420
0F59F8,9189E1,Bus,17:05,18:20,430
0F59F8,AC417B,Bus,01:20,04:05,900
0F59F8,4E4594,Bus,18:10,19:35,840
0F59F8,F289AC,Bus,20:55,23:40,920
0F59F8,245447,Bus,07:20,10:10,980
0F59F8,24FE60,Bus,05:40,06:30,380
0F59F8,94D4E0,Bus,21:15,23:20,520
0F59F8,ED1E89,Bus,02:15,06:15,140
0F59F8,097B12,Bus,08:00,09:15,980
0F59F8,CE2276,Bus,07:10,09:55,620
0F59F8,A16183,Bus,10:00,12:50,690
0F59F8,EEBEEB,Bus,13:10,15:45,290
0F59F8,DAAFEF,Bus,12:40,15:20,330
0F59F8,9C5E0D,Bus,08:40,12:25,870
0F59F8,544FAE,Bus,10:10,14:10,950
0F59F8,C19EE3,Bus,05:10,07:05,240
0F59F8,3B4762,Bus,13:50,15:15,570
0F59F8,382A98,Bus,05:25,07:35,120
7B66A2,0F59F8,Bus,15:20,17:05,510
7B66A2,1FA016,Bus,14:20,17:55,990
7B66A2,CEE55A,Bus,15:15,16:15,580
7B66A2,DB73A3,Bus,09:30,11:55,400
7B66A2,8DB674,Bus,06:55,08:40,770
7B66A2,AF5EDE,Bus,10:55,12:25,460
7B66A2,749BEE,Bus,01:55,04:20,40
7B66A2,30DAE4,Bus,04:40,05:25,870
7B66A2,EE67D9,Bus,16:00,17:25,660
7B66A2,0E4226,Bus,20:20,21:55,170
7B66A2,BB58E8,Bus,03:25,04:10,180
7B66A2,5C6EDC,Bus,21:15,01:00,710
7B66A2,610B10,Bus,00:55,04:25,520
7B66A2,556CA3,Bus,07:30,08:50,800
7B66A2,EF725A,Bus,09:20,09:40,110
7B66A2,8A3A94,Bus,05:15,08:50,440
7B66A2,D08E9D,Bus,20:45,22:50,800
7B66A2,C89939,Bus,22:20,23:00,900
7B66A2,CB2617,Bus,00:05,03:55,190
7B66A2,5FA399,Bus,13:35,17:25,560
7B66A2,115E3D,Bus,04:30,05:40,660
7B66A2,334E33,Bus,05:05,07:50,420
7B66A2,D46B5F,Bus,04:45,05:40,880
7B66A2,4958EC,Bus,14:25,16:55,150
7B66A2,5E32DC,Bus,13:25,16:40,390
7B66A2,B7196F,Bus,08:05,09:30,80
7B66A2,0AACB6,Bus,15:40,19:20,180
7B66A2,D6418E,Bus,04:20,04:40,140
7B66A2,19641B,Bus,18:55,22:45,820
7B66A2,550364,Bus,11:55,15:00,560
7B66A2,52D3AE,Bus,16:05,20:05,620
7B66A2,B85525,Bus,07:55,08:20,530
7B66A2,A862E7,Bus,13:40,14:25,850
7B66A2,C97172,Bus,02:20,03:20,580
7B66A2,AC052B,Bus,20:20,23:10,820
7B66A2,05B7E8,Bus,12:00,14:15,770
7B66A2,45692C,Bus,00:45,02:00,40
7B66A2,F19321,Bus,14:55,15:50,380
7B66A2,D320E5,Bus,21:05,00:05,350
7B66A2,7B2E93,Bus,03:50,05:25,210
7B66A2,682474,Bus,20:55,22:15,240
7B66A2,023881,Bus,02:55,03:45,590
7B66A2,483E0B,Bus,18:50,21:20,300
7B66A2,C6637A,Bus,06:15,07:25,940
7B66A2,AAD1A5,Bus,16:40,18:50,90
7B66A2,7C8400,Bus,05:35,07:15,370
7B66A2,7C7C2B,Bus,14:05,15:00,940
7B66A2,3C9576,Bus,02:30,06:25,170
7B66A2,9912E8,Bus,05:00,05:45,790
7B66A2,6CAE8A,Bus,08:40,12:25,650
7B66A2,E39BDC,Bus,09:10,10:15,910
7B66A2,28488F,Bus,06:35,08:55,120
7B66A2,B974DA,Bus,04:15,08:10,520
7B66A2,56376F,Bus,19:15,21:40,680
7B66A2,4D2472,Bus,03:20,06:05,740
7B66A2,F3BBF4,Bus,15:30,19:25,930
7B66A2,AE3CB3,Bus,12:00,15:00,950
7B66A2,76BC45,Bus,17:30,20:55,830
7B66A2,D7D0FF,Bus,18:20,22:00,860
7B66A2,8AD5CB,Bus,19:45,21:40,750
7B66A2,392BF5,Bus,23:50,00:30,450
7B66A2,CDC26D,Bus,16:10,19:15,480
7B66A2,8BDE7B,Bus,08:45,10:15,940
7B66A2,3C766D,Bus,04:50,08:45,320
7B66A2,965CE4,Bus,03:10,06:50,170
7B66A2,5B8D34,Bus,12:50,15:55,820
7B66A2,5131C3,Bus,06:00,09:25,410
7B66A2,EDB726,Bus,20:35,21:20,890
7B66A2,71AE33,Bus,17:40,20:05,730
7B66A2,EE1AFD,Bus,08:00,11:45,40
7B66A2,6B5607,Bus,23:20,23:50,860
7B66A2,76D7A7,Bus,21:55,01:50,200
7B66A2,6DFC6D,Bus,02:15,03:25,450
7B66A2,FE52DA,Bus,16:15,18:35,160
7B66A2,5EA68F,Bus,17:55,18:35,430
7B66A2,5BF693,Bus,08:20,09:25,810
7B66A2,FAEA55,Bus,07:25,08:20,130
7B66A2,6EA5F0,Bus,17:15,17:55,640
7B66A2,5DC175,Bus,21:40,23:20,660
7B66A2,E70A99,Bus,09:00,10:45,130
7B66A2,AC417B,Bus,21:35,00:25,810
7B66A2,4E4594,Bus,00:05,03:10,70
7B66A2,C5E307,Bus,17:30,19:25,950
7B66A2,24FE60,Bus,21:00,22:15,430
7B66A2,94D4E0,Bus,16:10,20:10,360
7B66A2,1C55B1,Bus,00:30,04:05,630
7B66A2,ED1E89,Bus,07:35,08:20,100
7B66A2,F392D9,Bus,11:55,15:40,750
7B66A2,CE2276,Bus,17:30,20:20,830
7B66A2,A16183,Bus,23:30,01:50,310
7B66A2,EEBEEB,Bus,22:30,02:00,330
7B66A2,DAAFEF,Bus,17:20,19:45,470
7B66A2,6D3D99,Bus,02:50,04:55,930
7B66A2,9C5E0D,Bus,11:25,11:50,410
7B66A2,83A971,Bus,11:20,12:55,50
7B66A2,544FAE,Bus,00:05,02:40,170
7B66A2,A9BB6C,Bus,01:05,02:30,60
7B66A2,3B4762,Bus,03:10,03:30,580
7B66A2,382A98,Bus,08:55,10:50,340
1FA016,0F59F8,Bus,20:30,22:05,690
1FA016,CEE55A,Bus,22:35,23:10,840
1FA016,F8A9E9,Bus,04:50,05:50,700
1FA016,9E3E90,Bus,16:10,17:50,160
1FA016,C33C74,Bus,02:10,05:10,290
1FA016,DB73A3,Bus,09:15,12:55,200
1FA016,320DB4,Bus,16:30,17:55,450
1FA016,02389D,Bus,01:45,02:05,590
1FA016,AF5EDE,Bus,09:45,13:45,620
1FA016,FAF783,Bus,23:40,03:40,510
1FA016,235520,Bus,10:05,13:55,270
1FA016,30DAE4,Bus,11:25,14:55,760
1FA016,EE67D9,Bus,22:55,00:30,590
1FA016,BB58E8,Bus,08:45,12:50,70
1FA016,5C6EDC,Bus,06:10,09:55,150
1FA016,610B10,Bus,10:50,14:05,270
1FA016,EF725A,Bus,13:15,15:05,980
1FA016,8A3A94,Bus,13:05,15:50,380
1FA016,6FFCE4,Bus,23:25,01:15,930
1FA016,AAE996,Bus,21:10,01:00,780
1FA016,C89939,Bus,20:55,23:15,800
1FA016,115E3D,Bus,11:35,14:25,270
1FA016,334E33,Bus,17:00,17:55,260
1FA016,4958EC,Bus,14:55,18:00,600
1FA016,DC1B44,Bus,14:45,17:15,410
1FA016,0AACB6,Bus,01:05,01:45,790
1FA016,19641B,Bus,18:15,19:30,430
1FA016,52D3AE,Bus,02:05,05:45,780
1FA016,B85525,Bus,08:20,09:40,680
1FA016,A862E7,Bus,07:30,09:55,580
1FA016,C97172,Bus,03:25,07:20,140
1FA016,9EB16F,Bus,20:55,23:15,90
1FA016,0C985E,Bus,00:20,02:15,50
1FA016,05B7E8,Bus,08:00,11:30,970
1FA016,CA4B18,Bus,13:50,17:35,80
